"druglocalcode","drugigrdname"
"Drug1779","Interferon alpha-2b"
"Drug1780","Cisapride"
"Drug1781","Trimetazidine.HCl"
"Drug1782","Cefaclor"
"Drug1783","Teicoplanin"
"Drug1784","Vacc.Hapatitis B"
"Drug1785","Doxorubicin HCl"
"Drug1786","Melilotus Ext. + Proxyphylline"
"Drug1787","Propranolol"
"Drug1788","Inosiplex"
"Drug1789","Vit.B comp."
"Drug1790","Lidocaine HCl"
"Drug1791","Oxycodone HCl + Naloxone HCl"
"Drug1792","Udenafil"
"Drug1793","Acebrophylline"
"Drug1794","Irbesartan 150mg + Hydrochlorothiazide 12.5mg"
"Drug1795","Thioctic acid"
"Drug1796","Hydromorphone HCl 8.72mg"
"Drug1797","Codeine Phosphate 10mg + Ibuprofen 200mg + Acetaminophen 250mg"
"Drug1798","Tacrine.HCl"
"Drug1799","Nifedipine"
"Drug1800","Diclofenac beta-dimethylaminoethanol"
"Drug1801","Frovatriptan"
"Drug1802","Astemizole"
"Drug1803","Risperidone"
"Drug1804","Midazolam"
"Drug1805","Amphotericin-B"
"Drug1806","Fosfomycin Trometamol"
"Drug1807","Doxorubicin HCl"
"Drug1808","Clevudine"
"Drug1809","Ubidecarenone"
"Drug1810","Eperisone.HCl"
"Drug1811","Amphotericin B, liposomal"
"Drug1812","Naftopidil"
"Drug1813","Caspofungin"
"Drug1814","Amoxicillin.3H2O"
"Drug1815","Mirtazapine"
"Drug1816","Sulprostone"
"Drug1817","Immunoglobulin-G (IM)"
"Drug1818","Epinephrine"
"Drug1819","Lidocaine+Epinephrine(1:100,000)"
"Drug1820","Etoposide"
"Drug1821","Cimicifugae 25mg,Sepia 25mg,lgnatia 25mg,Sanguinaria 25mg"
"Drug1822","Ramipril"
"Drug1823","Salbutamol Sulfate"
"Drug1824","Ciclesonide"
"Drug1560","Ginkgo biloba ext."
"Drug1561","Flurazepam.HCl"
"Drug1562","Gemigliptin"
"Drug1563","Mizoribine"
"Drug1564","Benzydamine"
"Drug1565","Sod.bicarbonate"
"Drug1566","Peritoneal dialysate"
"Drug1567","Piroxicam + Lidocaine"
"Drug1568","Medroxyprogesterone acetate"
"Drug1569","Chlorpheniramine maleate + Phenylephrine hydrochloride"
"Drug1570","Leucovorin calcium"
"Drug1571","Insulin Lispro"
"Drug1572","Simvastatin"
"Drug1573","Rituximab"
"Drug1574","Corifollitropin alfa"
"Drug1575","Chlorambucil"
"Drug1576","Ropivacaine"
"Drug1577","Tamsulosin"
"Drug1578","Tibolone"
"Drug1579","Ulinastatin"
"Drug1580","Erythromycin Lactobionate+Colistin Sod.Methanesulfonate"
"Drug1581","Furosemide"
"Drug1582","Salcatonin"
"Drug1583","Mefenamic acid"
"Drug1584","Thioridazine.HCl"
"Drug1585","Warfarin Sodium"
"Drug1586","Vinorelbine"
"Drug1587","Dexrazoxane"
"Drug1588","Sodium Thiosulfate"
"Drug1589","Ibuprofen"
"Drug1590","Omeprazole"
"Drug1591","Mycophenolate Mofetil"
"Drug1592","Digoxin"
"Drug1593","Paclitaxel"
"Drug1594","Allergen ex.(집먼지 진드기)"
"Drug1595","FSH+LH"
"Drug1596","Estradiol valerate + Norethisterone acetate"
"Drug1597","Thrombin+CaCl2+Gelatin"
"Drug1598","Acrivastine 8mg + Pseudoephedrine 60mg"
"Drug1599","Dopamin. HCl"
"Drug1600","Loperamide"
"Drug1601","Piroxicam B-cyclodextrin"
"Drug1602","Pranlukast Hydrate"
"Drug1603","Naratriptan"
"Drug1604","Ethambutol"
"Drug1605","Cyclosporine"
"Drug1606","Amlodipine besylate"
"Drug1607","Hyoscin+Sulpyrin"
"Drug1608","Peritoneal Dialysate"
"Drug1609","Viscum Album"
"Drug1610","Fimasartan potassium"
"Drug1611","Vincristine sulfate"
"Drug1612","Megestrol acetate"
"Drug1613","Nifedipine "
"Drug1614","Insulin Human (RI)"
"Drug1615","Amoxicillin + Clavulanic acid"
"Drug1616","Febuxostat"
"Drug1617","Bromocriptine mesylate"
"Drug1618","Mepivacaine HCl"
"Drug1619","Dantrolene Sodium"
"Drug1620","Finasteride"
"Drug1621","Leuprolide acetate"
"Drug1622","Tibolone"
"Drug1623","Calcium Citrate"
"Drug1624","Leflunomide"
"Drug1625","Azacitidine"
"Drug1626","Trimebutin maleate"
"Drug1627","Digestive Enzymes"
"Drug1628","Hemodialysis"
"Drug1629","Pemirolast"
"Drug1630","Bevacizumab"
"Drug1631","Valsartan"
"Drug1632","Doxorubicin HCl"
"Drug1633","Cis-atracurium"
"Drug1634","Lidocaine HCl"
"Drug1635","Risperidone"
"Drug1636","Alendronate 70mg + Cholecalcipherol 2800IU"
"Drug1637","Chlorcinnazine 2HCl + diphexamide + phenylpropanolamine"
"Drug1638","Ciprofloxacin"
"Drug1825","Lung surfactant(pocrine)"
"Drug1826","Nicorandil"
"Drug1827","Viscum album (아종 : Mali)"
"Drug1828","Dexamethasone"
"Drug1829","UDCA + CDCA"
"Drug1830","Tacrolimus"
"Drug1831","Aesculus hippocastanum leaves ext"
"Drug1832","Bromhexine"
"Drug1833","Dapsone"
"Drug1834","Gelatin MFG "
"Drug1835","Pergolide Mesylate"
"Drug1836","Ethambutol"
"Drug1837","Indapamide"
"Drug1838","Amantadine sulfate"
"Drug1839","Corydalis tuber:pharbitis seed(5:1) 50% ethanol ext"
"Drug1840","Terlipressin Acetate"
"Drug1841","Potasium citrate + Citric acid"
"Drug1842","Estradiol + Cyproterone"
"Drug1843","Erythropoietin-beta recombinant"
"Drug1844","Gelatin sponge"
"Drug1845","Manidipine"
"Drug1416","Monoammonium glycyrrhizinate + Glycine + l-cystein"
"Drug1417","Roxithromycin"
"Drug1418","Epoetin beta, Methoxy polyethylene glycol"
"Drug1419","Leuprolide acetate (Leuprorelin acetate)"
"Drug1420","Clobazam"
"Drug1421","자하거 가수분해물"
"Drug1422","Lactobacillus etc."
"Drug1423","Darbepoetin-α"
"Drug1424","Bacampicillin"
"Drug1425","Theophylline"
"Drug1426","Leucine + Isoleucine + Valine"
"Drug1427","Ilaprazole"
"Drug1428","Trospium"
"Drug1429","Vacc. Japanese Encephalitis"
"Drug1430","Basiliximab"
"Drug1431","Coagulation factor Ⅷ"
"Drug1432","Menatetrenone"
"Drug1433","Ferrous Sulfate 33.85mg + dl-Serine 25.8mg /ml"
"Drug1434","Irbesartan 300mg + Hydrochlorothiazide 12.5mg"
"Drug1435","Labetalol.HCl"
"Drug1436","(D)-Mannitol + (D)-Sorbitol"
"Drug1437","Clebopride/simethicone"
"Drug1438","Thioctic acid"
"Drug1439",""
"Drug1440","Antithrombin Ⅲ"
"Drug1441","Atorvastatin"
"Drug1442","Mesna"
"Drug1443","Chlorpromazine HCl"
"Drug1444","Everolimus"
"Drug1445","Valproate Sodium"
"Drug1446","Insulin lispro + Insulin lispro protamine"
"Drug1447","Dapsone"
"Drug1448","Methylergometrine"
"Drug1449","Naltrexone"
"Drug1639","Metformin"
"Drug1640","Vacc. Polio virus"
"Drug1641","Netilmicin sulfate"
"Drug1642","Oxycodone HCl"
"Drug1643","Ubidecarenone"
"Drug1644","Isoproterenol. HCl"
"Drug1645","Estrogen Conjugated"
"Drug1646","Dexibuprofen"
"Drug1647","Sod.Selenite Pentahydrate(Se로서 500mcg)"
"Drug1648","Nicorandil"
"Drug1649","Strep.faecalis + B.mesentericus + C.butyricum"
"Drug1650","Sevoflurane"
"Drug1651","Lentinan"
"Drug1652","Pantoprazole"
"Drug1653","Zinc sulfate"
"Drug1654","Vacc. D.P.T (Tdap)"
"Drug1655","Purified Urokinase"
"Drug1656","Propofol"
"Drug1657","Oyster shell powder"
"Drug1658","Dihydrocodeine tartrate"
"Drug1659","Zipeprol.HCl"
"Drug1660","Ascorbic acid"
"Drug1661","Tosufloxacin tosilate"
"Drug1662","BCG Strain Connaught"
"Drug1663","Clofazimine"
"Drug1664","Carbamazepine"
"Drug1665","Levetiracetam"
"Drug1666","Nimodipine"
"Drug1667","Loperamide"
"Drug1668","Pyridoxine HCl"
"Drug1669","Levodopa+Carbidopa"
"Drug1670","Mesalazine"
"Drug1671","Minoxidil"
"Drug1672","Candesartan "
"Drug1673","Estradiol Valerate"
"Drug1674","Vacc. Polio Virus"
"Drug1675","Insulin Human"
"Drug1676","Aminophylline"
"Drug1677","Cefditoren"
"Drug1678","Mercaptopurine"
"Drug1679","Filgrastim (G-CSF)"
"Drug1680","Nizatidine"
"Drug1681","Ampicillin + Sulbactam"
"Drug1682","Bambuterol. HCl"
"Drug1683","Methotrexate"
"Drug1684","Budesonide"
"Drug1685","Peritoneal dialysate"
"Drug1686","Pitavastatin"
"Drug1687","Lithium carbonate"
"Drug1688","Levocloperastine fendizoate"
"Drug1689","L-Ornithine-L-Aspartate"
"Drug1690","Cetuximab"
"Drug1691","Adenosine"
"Drug1692","Calcium Acetate"
"Drug1693","Labetalol HCl"
"Drug1694","Dexpanthenol"
"Drug1695","Rifabutin"
"Drug1696","Triptorelin acetate"
"Drug1697","Flecainide"
"Drug1698","Fluconazole"
"Drug1699","Cerebrolysin concentrate"
"Drug1700","Taurolidine"
"Drug1701","Follitropin(FSH)"
"Drug1702","Candesartan 16mg+Hydrochlorothiazide 12.5mg"
"Drug1703","Clostiridium Botulinum toxin type B"
"Drug1704","Levetiracetam"
"Drug1450","Iron acetyltransferrine hydroglyceride"
"Drug1451","Coagulation factor VIII"
"Drug1452","Carmustine(BCNU)"
"Drug1453","Tramadol HCl"
"Drug1454","L-Asparaginase"
"Drug1455","Linezolid"
"Drug1456","Sucralfate"
"Drug1457","Tacrolimus"
"Drug1458","Progesterone(Micronized)"
"Drug1459","Palivizumab"
"Drug1460","Growth Hormone (Somatropin)"
"Drug1461","Olmesartan Medoxomil"
"Drug1462","Gemfibrozil"
"Drug1463","Cyclophosphamide"
"Drug1464","Leucine+Isoleucine+Valine"
"Drug1465","Glimepiride+Metformin"
"Drug1466","Rifampicin"
"Drug1467","Topotecan HCl"
"Drug1468","Gabapentin"
"Drug1469","Dinoprostone"
"Drug1470","Diltiazem"
"Drug1471","Nifedipine"
"Drug1472","Azathioprine"
"Drug1473","Valproic Acid"
"Drug1474","Atovaquone + Proguani"
"Drug1475","Imipenem + Cilastatin Sod."
"Drug1476","Cefoperazone + Sulbactam"
"Drug1477","RhoGAM"
"Drug1478","Warfarin Sod"
"Drug1479","Rosuvastatin Ca"
"Drug1480","Isoniazide"
"Drug1481","Zinc Sulfate "
"Drug1482","Gemcitabine"
"Drug1483","Vacc.Pneumococcal"
"Drug1484","Belotecan"
"Drug1485","Rho(D) Immune Globuline"
"Drug1486","Viscum Album"
"Drug1487","Cinacalcet HCl"
"Drug1488","Nitroglycerin"
"Drug1489","Doxorubicin HCl"
"Drug1490","Zonisamide"
"Drug1491","Somatostatin"
"Drug1492","Cal.Chloride"
"Drug1493","Aminophylline"
"Drug1494","Escitalopram"
"Drug1495","Lacidipine"
"Drug1496","Levonorgestrel"
"Drug1497","Chymopapain"
"Drug1498","Clarithromycin"
"Drug1499","Remifentanil HCl"
"Drug1500","Vit B1,B6,B12"
"Drug1501","Temozolomide"
"Drug1502","Morphine Sulfate"
"Drug1503","Hepatitis B Immunoglobilin"
"Drug1504","Fibrinogen+Aprotinin+CaCl2"
"Drug1505","Pantoprazole"
"Drug1506","Enflurane"
"Drug1507","Ranibizumab"
"Drug1508","Vaccinium Myrtillus ext."
"Drug1509","Solifenacin"
"Drug1510","Levodopa+Carbidopa"
"Drug1511","Entecavir"
"Drug1512","Diomagnate"
"Drug1513","Levocloperastine fendizoate"
"Drug1514","Caffeine citrate"
"Drug1515","Chlorpromazine.HCl"
"Drug1516","Paclitaxel"
"Drug1517","Antithrombin Ⅲ"
"Drug1518","Neomycin + Dexamethasone + Polymyxin B"
"Drug1519","Ceftazidime"
"Drug1520","Irinotecan"
"Drug1521","Propranolol"
"Drug1522","Quetiapine"
"Drug1523","Tacrolimus"
"Drug1524","Rho(D) Immune Globuline"
"Drug1525","Rabeprazole"
"Drug1526","Tetanus Immune Globulin (human)"
"Drug1527","Ziprasidone"
"Drug1528","Dacarbazine"
"Drug1529","Fexofenadine"
"Drug1530","Pitavastatin"
"Drug1531","Rivastigmine"
"Drug1532","Lung Surfactant"
"Drug1533","Ethinyl Estradiol 0.02mg+Drospirenone 3mg"
"Drug1534","Rivastigmine"
"Drug1535","Agiolax pregranules(Plantaginis semen etc)"
"Drug1536","Amoxicillin + Clavulanic acid"
"Drug1537","Cyproheptadine"
"Drug1538","Mirodenafil HCl"
"Drug1539","Sibutramine mesylate"
"Drug1540","Docetaxel"
"Drug1541","Acyclovir"
"Drug1542","Donepezil"
"Drug1543","Montelukast Sodium"
"Drug1544","Follitropin(FSH)"
"Drug1545","Bisacodyl 5mg+docusate sodium 16.75mg "
"Drug1546","Irbesartan "
"Drug1547","Topiramate"
"Drug1548","Levofloxacin"
"Drug1549","Erythropoietin"
"Drug1273","Ticarcillin Na + Clavulanate K"
"Drug1274","Lidocaine+Epinephrine(1:10만)"
"Drug1275","Fosinopril Sod."
"Drug1276","Sodium Hyaluronate 8.5mg"
"Drug1277","Cefoperazone + Sulbactam"
"Drug1278","Coagulation factor Ⅷ"
"Drug1279","Goserelin"
"Drug1280","Sod.Chloride 3%"
"Drug1281","Sulodexide"
"Drug1282","Bezafibrate"
"Drug1283","Flubiprofen"
"Drug1284","Epirubicin HCl"
"Drug1285","Enoxaparin"
"Drug1286","Lorazepam"
"Drug1287","Nitroglycerin"
"Drug1288","Ranitidine 75mg+Bismuth subcitrate 100mg+Sucralfate 300mg"
"Drug1289","Primidone"
"Drug1290","Enteral Nutrition Liquid"
"Drug1291","Indacaterol"
"Drug1292","Everolimus"
"Drug1293","Sunitinib malate"
"Drug1294","Bupivacaine.HCl"
"Drug1295","Aldesleukin"
"Drug1296","Citicoline"
"Drug1297","PEG 3350 etc"
"Drug1298","Thymopentin"
"Drug1299","Rifampicin"
"Drug1300","Insulin detemir"
"Drug1301","Sumatriptan Succinate"
"Drug1302","Paclitaxel"
"Drug1303","Etanercept"
"Drug1304","Ethinyl Estradiol 0.03mg + Drospirenone 3mg"
"Drug1305","Microfibrillar collagen HCl"
"Drug1306","Phentermine"
"Drug1307","Norepinephrine"
"Drug1308","Primaquine"
"Drug1309","Phenobarbital"
"Drug1310","Budesonide 160mcg + Formoterol 4.5mcg"
"Drug1311","Ropinirole"
"Drug1312","Vacc. Rotavirus"
"Drug1313","Methylprednisolone"
"Drug1314","Rivaroxaban"
"Drug1315","Alprazolam"
"Drug1316","Estradiol + Norethisterone"
"Drug1317","Cytarabine"
"Drug1318","Thioridazine.HCl"
"Drug1319","Topiramate"
"Drug1320","Gabapentin"
"Drug1321","Famotidine"
"Drug1322","Sod.nitroprusside"
"Drug1323","Saxagliptin"
"Drug1324","Mesterolon"
"Drug1325","Haloperidol"
"Drug1326","Chlorpromazine HCl"
"Drug1327","Chlorpheniramine Maleate 4mg"
"Drug1328","Paclitaxel"
"Drug1329","Torasemide"
"Drug1330","Coagulation factor Ⅶ (Eptacog alfa)"
"Drug1331","Lidocaine HCl"
"Drug1332","Netilmicin Sulfate"
"Drug1333","Atorvastatin"
"Drug1334","Azithromycin"
"Drug1335","Follitropin(FSH)"
"Drug1336","Chloramphenicol"
"Drug1337","Gabapentin"
"Drug1338","Levodopa+Carbidopa"
"Drug1339","Carvedilol"
"Drug1340","Amlodipine 5mg + Olmesartan medoxomil 20mg"
"Drug1341","Quetiapine"
"Drug1342","Dried alum.hydroxide etc"
"Drug1343","Hydroxyzine HCl"
"Drug1344","Dextrose"
"Drug1345","Sildenafil Citrate"
"Drug1346","Efavirenz"
"Drug1347","Enteral Nutrition Liquid"
"Drug1348","Risedronate"
"Drug1349","Levocabastine"
"Drug1350","Pemetrexed"
"Drug1351","Follitropin(FSH)"
"Drug1352","Paroxetine.HCl"
"Drug1353","Vacc. Polio virus"
"Drug1354","Famotidine"
"Drug1355","Amisulpride"
"Drug1356","Thalidomide"
"Drug1357","Exenatide 0.6mg, m-cresol 5.28"
"Drug1358","Heparin sodium"
"Drug1359","Vacc.Hemophilus influenzae b"
"Drug1360","Ipriflavone"
"Drug1361","Ivy leaf 30% Ethanol Dried Ext.+ Coptis Rhizoma Butanol Dried Ext."
"Drug1362","Loracarbef"
"Drug1550","Nebivolol HCl"
"Drug1551","Simvastatin"
"Drug1552","Peritoneal dialysate"
"Drug1553","Atazanavir sulfate"
"Drug1554","Nalbuphine HCl"
"Drug1555","Erythropoietin-αrecombinant"
"Drug1556","Folic acid"
"Drug1557","Cyclophosphamide"
"Drug1558","Keratinocyte Allograft"
"Drug1559","Venlafaxine HCl"
"Drug1131","Plerixafor"
"Drug1132","Ramosetron"
"Drug1133","Carbamazepine"
"Drug1134","Cyclobenzaprine"
"Drug1135","Naloxone.HCl"
"Drug1136","5-Fluorouracil"
"Drug1137","Oxytetracycline"
"Drug1138","Clindamycin "
"Drug1139","Indomethacin"
"Drug1140","Erythromycin Lactobionate"
"Drug1141","Erythropoietin-a recombinant"
"Drug1142","Etizolam"
"Drug1143","Sunitinib malate"
"Drug1144","Streptokonase + Streptodornase"
"Drug1145","Carumonam Sodium"
"Drug1146","Acetaminophen"
"Drug1147","Vaccinium myrtillus Ex."
"Drug1148","Levodopa+Carbidopa"
"Drug1149","Alprostadil(Lipo PGE1)"
"Drug1150","Nimodipine"
"Drug1151","Carvedilol"
"Drug1152","Viscum album (아종 : Mali)"
"Drug1153","Sodium Hyaluronate 21.9mg 외 1개"
"Drug1154","Chymopapain"
"Drug1155","Chlorpromazine HCl"
"Drug1156","Oxycodone HCl"
"Drug1157","Methylergometrine maleate"
"Drug1158","Haloperidol"
"Drug1159","Levonorgestrel"
"Drug1160","Valproic acid"
"Drug1161","Plantaginis semen + Plantaginis testa"
"Drug1162","Peritoneal dialysate"
"Drug1163","Dexamethasone"
"Drug1164","Propofol"
"Drug1165","Ebastine"
"Drug1166","Temsirolimus"
"Drug1167","Atomoxetine"
"Drug1168","Prednisolone"
"Drug1169","Peritoneal dialysate"
"Drug1170","Moxifloxacin"
"Drug1171","Fluoxetin HCl"
"Drug1172","Talniflumate"
"Drug1173","Dienogest"
"Drug1174","Alverine 60mg + Simethicone 300mg"
"Drug1175","Nicardipine"
"Drug1176","Morphine sulfate"
"Drug1177","Nifedipine"
"Drug1363","Calcitriol"
"Drug1364","Verapamil.HCl"
"Drug1365","Indinavir"
"Drug1366","Multi Vitamine + Minerals"
"Drug1367","FSH+LH"
"Drug1368","Budesonide"
"Drug1369","Roflumilast"
"Drug1370","Enteral nutrient"
"Drug1371","Ceftriaxone Na 1g + N/S 100ml"
"Drug1372","Nicardipine"
"Drug1373","Gemcitabine"
"Drug1374","Peritoneal dialysate"
"Drug1375","Udenafil"
"Drug1376","Mecobalamin"
"Drug1377","Peritoneal Dialysate"
"Drug1378","Palonosetron HCl"
"Drug1379","Trazodone HCl"
"Drug1380","Tramadol HCl 37.5mg, Acetaminophen 325mg"
"Drug1381","Levocetirizine"
"Drug1382","Ambrisentan"
"Drug1383","Ofloxacin"
"Drug1384","r-TPA"
"Drug1385","Abciximab"
"Drug1386","Fluticasone propionate"
"Drug1387","Ceftazidime"
"Drug1388","Disodium clodronate"
"Drug1389","Peritoneal dialysate"
"Drug1390","Nimodipine"
"Drug1391","Lanreotide"
"Drug1392","Cilostazol 100mg+Ginko Leaf ext. 80mg"
"Drug1393","Estradiol 2mg + Norethisterone 1mg"
"Drug1394","Doxycycline.HCl"
"Drug1395","Iodine + KI + Distilled water"
"Drug1396","Enviomycin sulfate"
"Drug1397","Hydrocortisone succinate Sod."
"Drug1398","Piroxicam"
"Drug1399","Adapalene"
"Drug1400","Dried Ivy leaf ext."
"Drug1401","Insulin Lispro"
"Drug1402","Tiotropium"
"Drug1403","Candesartan + Hydrochlothiazide"
"Drug1404","Besifloxacin"
"Drug1405","Erofenamate"
"Drug1406","Isosorbide Dinitrate"
"Drug1407","Medroxyprogesterone acetate"
"Drug1408","Tiotropium"
"Drug1409","Verapamil.HCl"
"Drug1410","Isosorbide Mononitrate"
"Drug1411","Filgrastim (G-CSF)"
"Drug1412","Calcium citrate 750mg + Cholecalciferol 400unit"
"Drug1413","Prednisolone"
"Drug1414","Parnaparin Sod"
"Drug1415","Thiocolchicoside"
"Drug992","Tolterodine"
"Drug993","Diclofenac beta-dimethylaminoethanol"
"Drug994","Dimenhydrinate"
"Drug995","Loracarbef"
"Drug996","Esomeprazole"
"Drug1178","Desensitizing Vaccine"
"Drug1179","Atomoxetine"
"Drug1180","Scopolia Ex.+Biodiastase"
"Drug1181","Polysaccharide-K"
"Drug1182","Spectinomycin"
"Drug1183","Ascorbic acid"
"Drug1184","Purified Urokinase"
"Drug1185","Topiramate"
"Drug1186","Pancreatin,UDCA,Diastase etc"
"Drug1187","Cefprozil"
"Drug1188","Growth Hormone (human)"
"Drug1189","Cefdinir"
"Drug1190","Morphine.HCl"
"Drug1191","FSH(Urofollitrophin)"
"Drug1192","Clindamycin"
"Drug1193","Vancomycin"
"Drug1194","Povidone Iodine"
"Drug1195","Donepezil"
"Drug1196","Sotalol.HCl"
"Drug1197","Ibuprofen"
"Drug1198","Zoledronic acid"
"Drug1199","Paclitaxel"
"Drug1200","Growth Hormone (Somatropin)"
"Drug1201","Leuprolidine acetate"
"Drug1202","Interferon alpha-2a"
"Drug1203","Reserpine"
"Drug1204","Labetalol.HCl"
"Drug1205","Atorvastatin"
"Drug1206","Triflusal"
"Drug1207","Guaifenesin"
"Drug1208","Cefetamet pivoxil HCl"
"Drug1209","Ritodrine.HCl"
"Drug1210","Desensitizing Vaccine"
"Drug1211","Dioctahedral smectite"
"Drug1212","Diclofenac sod. + Misoprostol"
"Drug1213","Omeprazole"
"Drug1214","Levocetizine"
"Drug1215","Nemonapride"
"Drug1216","Salbutamol sulfate"
"Drug1217","Testosterone Enanthate"
"Drug1218","Ginkgo biloba Ext."
"Drug1219","Erythromycin estolate"
"Drug1220","Rifampicin"
"Drug1221","Acipimox"
"Drug1222","Hydrochlorothiazide"
"Drug1223","Imiglucerase"
"Drug1224","Medroxyprogesterone acetate"
"Drug1225","Cilostazol"
"Drug1226","Methylene Blue"
"Drug1227","Pamidronate Disodium"
"Drug1228","Dalteparin"
"Drug1229","Estrogen 0.45mg + Medroxyprogesterone 1.5mg"
"Drug1230","Ginkgo biloba Ext."
"Drug1231","Purified Urokinase"
"Drug1232","Erythropoietin-beta recombinant"
"Drug1233","Mesoglycan"
"Drug1234","Imatinib mesylate"
"Drug1235","Spironolactone"
"Drug1236","Ranitidine.HCl"
"Drug1237","Coagulation Fator VII(Eptacog alfa)"
"Drug1238","Peginterferon alfa-2b"
"Drug1239","Calcium Chloride"
"Drug1240","Insulin Human (RI 30% + NPH 70%)"
"Drug1241","Quadrivalent(A,C,Y,W-135) meningococcal conjugate vaccine"
"Drug1242","Immunocyanin"
"Drug1243","Zipeprol.HCl"
"Drug1244","Human chorionic gonadotropin"
"Drug1245","Aminophylline"
"Drug1246","Flavoxate.HCl"
"Drug1247","Ampicillin sodium + Sulbactam sodium"
"Drug1248","Sulpyrin"
"Drug1249","Pemoline"
"Drug1250","Tolterodine 1-tartrate"
"Drug1251","Exemestane"
"Drug1252","Morphine sulfate"
"Drug1253","Darbepoetin-alpha"
"Drug1254","Somatropin"
"Drug1255","Fentanyl citrate"
"Drug1256","Electrolytes for TPN"
"Drug1257","Amisulpride"
"Drug1258","Ofloxacin"
"Drug1259","Warfarin sod."
"Drug1260","Calcium Chloride"
"Drug1261","Purified Urokinase"
"Drug1262","Estrogen conjugated"
"Drug1263","Testosterone Undecanoate"
"Drug1264","Na2HPO4.7H2O + NaH2PO4.H2O"
"Drug1265","Pranlukast hydrate"
"Drug1266","Peritoneal Dialysate"
"Drug1267","Mesalazine"
"Drug1268","Thenothiola sod."
"Drug1269","Amphotericin B Colloidal dispersion"
"Drug1270","Calcium Gluconate"
"Drug1271","Chorionic gonadotrophin alpha"
"Drug1272","Insulin glulisine"
"Drug997","Esmolol.HCl"
"Drug998","Doxorubicin.HCl"
"Drug999","Insulin Human (NPH)"
"Drug1000","Nadroparin Ca"
"Drug1001","Thioridazine.HCl"
"Drug1002","Imipenem + Cilastatin Sod."
"Drug1003","Budesonide"
"Drug1004","Pancreatin 외"
"Drug1005","Tacrolimus"
"Drug1006","Azintamide etc"
"Drug1007","Epinastine HCl"
"Drug1008","Budesonide"
"Drug1009","Thioridazine"
"Drug1010","Leuprolide acetate (Leuprorelin acetate)"
"Drug1011","Clobetasol"
"Drug1012","Atomoxetine"
"Drug1013","Thioctic acid"
"Drug1014","Acyclovir"
"Drug1015","Oxycodone HCl"
"Drug1016","Paclitaxel"
"Drug1017","Chlorpromazine HCl"
"Drug1018","Calcitriol"
"Drug1019","Pregabalin"
"Drug1020","Dexamethasone"
"Drug1021","Cholecalciferol"
"Drug1022","Metoclopramide.HCl"
"Drug1023","Povidone Iodine"
"Drug1024","Cefixime"
"Drug1025","Metformin"
"Drug1026","Estradiol Valerate"
"Drug1027","Ticlopidine.HCl"
"Drug1028","Propiverine HCl"
"Drug1029","Chlorpromazine.HCl"
"Drug1030","Lapatinib ditosylate"
"Drug1031","Thioridazine"
"Drug1032","Ropinirole"
"Drug1033","Alprostadil(PGE1)"
"Drug1034","Bazedoxifene"
"Drug1035","Cimetropium Bromide"
"Drug1036","Clomiphene citrate"
"Drug1037","Levodopa+Benserazide"
"Drug1038","Peritoneal dialysate"
"Drug1039","Zolpidem hemitartrate"
"Drug1040","Cal.dobesilate"
"Drug1041","Rho(D) Immune globulin"
"Drug1042","Cerebrolysin concentrate"
"Drug1043","ZnSO4 61.76mg + Vitamin multiple"
"Drug1044","Calcifediol"
"Drug1045","Captopril"
"Drug1046","Ranitidine Bismuth Citrate"
"Drug1047","Itopride HCl"
"Drug1048","Inactivated Japanese encephalitis virus"
"Drug1049","Ticarcillin Na + Clavulanate K"
"Drug1050","Gallamine triethiodide"
"Drug1051","Cefonicid Sod."
"Drug1052","Methylprednisolone sod. succinate"
"Drug1053","Rivaroxaban"
"Drug1054","Leuprolide acetate (Leuprorelin acetate)"
"Drug1055","Bepotastine calcium dihydrate  "
"Drug1056","Chlormadinone acetate"
"Drug1057","Levodopa+Benserazide"
"Drug1058","Isotretinoin"
"Drug1059","Terazosin HCl"
"Drug1060","Amlodipine camsylate"
"Drug1061","Prazosin HCl"
"Drug1062","Acetylcholine chloride 20mg"
"Drug1063","Ferric hydroxide polymaltose complex"
"Drug1064","Ketamine.HCl"
"Drug1065","Goserelin"
"Drug1066","Insulin aspart + Insulin aspart protamine"
"Drug1067","Cefcapene Pivoxil"
"Drug1068","Bisoprolol"
"Drug1069","Fimasartan potassium"
"Drug1070","Balofloxacin"
"Drug1071","Fenoverine"
"Drug1072","Coagulation factor Ⅷ"
"Drug1073","Melphalan"
"Drug1074","Calcium Citrate 750mg + Cholecalciferol 400IU"
"Drug1075","Iloprost"
"Drug1076","Tacrolimus"
"Drug1077","Doxycycline monohydrate"
"Drug1078","Suxamethonium chloride"
"Drug1079","Clarithromycin"
"Drug1080","Fenofibrate"
"Drug1081","Nefazodone HCl"
"Drug1082","Neostigmine Methylsulfate"
"Drug1083","Human Immunoglobulin"
"Drug1084","Vacc. D.P.T."
"Drug1085","Famciclovir"
"Drug1086","Epoetin beta, Methoxy polyethylene glycol"
"Drug1087","Potassium Citrate + Citric acid"
"Drug1088","Human thrombin "
"Drug1089","Vacc.Pneumococcal"
"Drug1090","Isosorbide Mononitrate"
"Drug1091","Morphine sulfate "
"Drug1092","Didanosine"
"Drug1093","Darbepoetin-alpha"
"Drug1094","Risperidone"
"Drug1095","Cilostazol"
"Drug1096","Gliclazide"
"Drug847","Methotrexate"
"Drug848","Vitis vinifera Ext."
